idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
31088;RICCI ARIANNA;Esso;Altro;DISTRIBUTORE ESSO;VIA PER MODENA 8 41014;CASTELVETRO DI MODENA;MO;44.50707845;10.94657108
40122;T.D.M. S.R.L.;Tamoil;Altro;8964;Via Aldo Moro  41032;CAVEZZO;MO;44.83121561;11.02323934
20498;LAVAGGIO GIADA DI D'ADDIECO ERIKA;Ies;Altro;area di servizio lavaggio giada;tagenziale aldo moro 200 ;CAVEZZO;MO;44.83120652;11.02323532
12529;LUPPI FRANCA;Esso;Altro;STAZIONE di SERVIZIO ESSO gestione LUPPI FRANCA;VIA VOLTURNO 124 41032;CAVEZZO;MO;44.82689943;11.03651494
12403;VESCOVINI ROGER;Total Erg;Altro;vescovini roger;via cavour, motta s/s 349 41030;CAVEZZO;MO;44.82371235;10.99796265
29678;T.D.M. S.R.L.;Tamoil;Altro;2299;via Carducci 4 41033;CONCORDIA SULLA SECCHIA;MO;44.9119244;10.98370492
10700;SAVIOLI ODDINO S.N.C. DI SAVIOLI LAMBERTO & C.;Pompe Bianche;Altro;Savioli;VIA PER MIRANDOLA 4 41033;CONCORDIA SULLA SECCHIA;MO;44.91337144;10.98669559
27296;VINCENZI MASSIMO;Tamoil;Altro;Vincenzi Massimo;via Porretana 206 41021;FANANO;MO;44.20713859;10.79686761
19459;ARCOBALENO S.N.C. DI MALAGUTI ALFREDO & C.;Esso;Altro;ARCOBALENO SNC;VIA PER CENTO 2/C 41034;FINALE EMILIA;MO;44.82583659;11.29960659
13476;BATTISTA LOREDANA;Total Erg;Altro;Battista Loredana  TotalErg;VIA DANTE ALIGHIERI 6A 41034;FINALE EMILIA;MO;44.82998683;11.29241109
13076;RENO GAS ENERGY S.R.L.;Pompe Bianche;Altro;DISTRIBUTORE METANO; VIA PER MODENA 48/A 41034;FINALE EMILIA;MO;44.83707288;11.27694981
11119;STATION SERVICE DI FERRARI MASSIMILIANO;Agip Eni;Altro;ENI;VIA PER MODENA 54 41034;FINALE EMILIA;MO;44.83817343;11.2588647
9993;FORGHIERI & MONARI DI MONARI CLAUDIO & C. - S.N.C.;Agip Eni;Altro;Forghieri e Monari di Monari C.& C.;VIA ROTTA 12/E 41034;FINALE EMILIA;MO;44.83399197;11.29064992
34777;GRAZI PETROLI S.R.L.;Grazi Petroli;Altro;GRAZI PETROLI;VIA FERRARA 6/D 41034;FINALE EMILIA;MO;44.83327188;11.30671799
33356;MAA SRL;Repsol;Altro;Repsol Finale Emilia;VIA PER FERRARA 85/A 41034;FINALE EMILIA;MO;44.83112967;11.3398996
14201;SERVICE OASI DI POLETTI MAURIZIO & C. - S.N.C.;Total Erg;Altro;service oasi;via montebianco 21 41034;FINALE EMILIA;MO;44.84733139;11.21798784
35035;STAZIONE DI SERVIZIO IL POLO DI MARCHETTI JHONATAN;Api-Ip;Altro;stazione di servizio il polo;via per modena 6 41034;FINALE EMILIA;MO;44.83559451;11.28884442
38175;BAR CAPRICCIO DI MAZZUCCHI FLAVIO;Esso;Altro;BAR CAPRICCIO DI MAZZUCCHI FLAVIO;VIA ANTICA CAVA 5 41042;FIORANO MODENESE;MO;44.54088121;10.85015908
30212;BERTELLI WALTER E ROLANDO  - CARBURANTI - S.P.A.;Bertelli Carburanti;Altro;BERTELLI FIORANO;Via San Francesco 206 41042;FIORANO MODENESE;MO;44.54340467;10.80687165
24677;CORTI FRANCO;Api-Ip;Altro;corti franco;VIA STATALE OVEST 93, 41042 ;FIORANO MODENESE;MO;44.53887017;10.80849767
10425;MORINI LAZZARO;Agip Eni;Altro;ENI;VIA GHIAROLA NUOVA  41042;FIORANO MODENESE;MO;44.55297786;10.81057906
35190;FRATELLI RIGHI DI RIGHI NICOLA E FILIPPO SNC;Esso;Altro;F.lli Righi snc;VIA FLUMENDOSA 24 41042;FIORANO MODENESE;MO;44.53532848;10.83042883
31511;DEL GATTO GIOVANNI;Api-Ip;Altro;giovanni del gatto;via statale 38 A 41042;FIORANO MODENESE;MO;44.53354645;10.83959329
5586;MIDA S.N.C. DI CASOLARI TIZIANA E C.;Ego;Altro;MIDA RACE COFFEE;VIA PEDEMONTANA 105 41042;FIORANO MODENESE;MO;44.54945629;10.83174437
37827;BASCHIERI IVANO;Api-Ip;Altro;stazione IP;VIA SAN FRANCESCO 38 41042;FIORANO MODENESE;MO;44.54069941;10.82168611
8843;GROSSO RAFFAELE;Total Erg;Altro;TotalErg;VIA S. GIOV. EVANGELISTA 36/38 41042;FIORANO MODENESE;MO;44.53507306;10.84156982
19723;BARCO DI BAROZZINI PAOLO E C. S.N.C.;Total Erg;Altro;TOTALERG;VIA PEDEMONTANA 220/222 41042;FIORANO MODENESE;MO;44.55137069;10.81766761
39844;T.D.M. S.R.L.;Tamoil;Altro;8971;Super Strada Modena Sassuolo Km 17+00  41043;FORMIGINE;MO;44.57074032;10.82616672
10972;STANCO LORENZO;Agip Eni;Altro;AGIP;SUPERSTRADA MODENA SASSUOLO SN 41043;FORMIGINE;MO;44.59273712;10.84465116
27092;CT S.R.L.;Api-Ip;Altro;AREASERVIZIO IP CT SRL;via modena sassuolo km17 latosx direzione modena  41043;FORMIGINE;MO;44.57038636;10.82681148
35298;CARBURANTI PINELLI DI PINELLI ONESTO & C. S.N.C.;Pompe Bianche;Altro;CARBURANTI PINELLI DI PINELLI ONESTO & C S.N.C.;VIA RADICI IN PIANO 5 41043;FORMIGINE;MO;44.56919929;10.81661685
14716;B & B DI BUFFAGNI CARLO E C. S.N.C.;Agip Eni;Altro;Eni Magreta;VIA DON FRANCHINI 226 41010;FORMIGINE;MO;44.59800891;10.80863806
39694;MONTANARI MARCO;Agip Eni;Altro;ENI STATION MONTANARI;VIA GIARDINI SUD 36 41043;FORMIGINE;MO;44.57666763;10.84873013
35858;WASH CAR DI MANTA SALVATORE;Api-Ip;Altro;ip;via giardini nord 270 41043;FORMIGINE;MO;44.59199793;10.85565962
18817;VECCHI DAVIDE;Api-Ip;Altro;IP- VECCHI DAVIDE;VIA PASCOLI 77 41043;FORMIGINE;MO;44.57798483;10.83815703
20259;L.B BENZ DI BARONI LORENZA;Api-Ip;Altro;L.B Benz di Baroni Lorenza;VIA GIARDINI SUD 133 41043;FORMIGINE;MO;44.56002878;10.85318193
15568;PIEFFE DI PICCININI MARCELLO E C. S.N.C.;Agip Eni;Strada Statale;Pieffe di Piccinini Marcello & c snc;Statale 12 dell'Abetone e del Brennero, Km. 167, dir. abetone;FORMIGINE;MO;44.55224772;10.90179563
29499;MASETTI PAOLA;Pompe Bianche;Altro;EGO;VIA VIGNOLESE 545 41052;GUIGLIA;MO;44.42472469;10.97857108
13843;FAGLIONI ROBERTO;Tamoil;Altro;TAMOIL ROCCAMALATINA;VIA MASSIMO D'AZEGLIO 502 41052;GUIGLIA;MO;44.39087683;10.96548018
10375;BAZZANI S.N.C. DI BAZZANI MAURIZIO & C.;Api-Ip;Altro;DISTRIBUTORE IP ;VIA PIETRO GIARDINI 233 41023;LAMA MOCOGNO;MO;44.3074925;10.73268127
36550;BARBIERI SIMONETTA;Esso;Altro;RIFORNIMENTO ESSO DI BARBIERI SIMONETTA;VIA PER PALAGANO 82 41023;LAMA MOCOGNO;MO;44.30953163;10.71261533
37532;BEGONIA PETROLIO DI FIRAT BAYRAM;Agip Eni;Altro;6357;Via pedemontana  2100 41053;MARANELLO;MO;44.53159417;10.8887279
34432;DEL GATTO GIOVANNI;Ego;Altro;DEL  GATTO GIOVANNI;VIA NUOVA ESTENSE   67 41053;MARANELLO;MO;44.50189821;10.87307855
37420;LISTA GIOVANNA;Agip Eni;Altro;eni 1;via statale per vignola 52 41053;MARANELLO;MO;44.52816959;10.87657414
24442;METANO MARANELLO S.R.L.;Q8;Altro;METANO MARANELLO ;STRADA PEDEMONTANA 2405-2415 41053;MARANELLO;MO;44.5310521;10.8927083
24441;METANO MARANELLO S.R.L.;Pompe Bianche;Altro;METANO MARANELLO ;STRADA PEDEMONTANA 2405-2415 41053;MARANELLO;MO;44.5310521;10.8927083
28942;POZZA CARBURANTI SNC DI LENTI LUCA E CUOGHI DAVIDE E C.;Esso;Altro;Pozza Carburanti;VIA PER VIGNOLA 303 41053;MARANELLO;MO;44.52554203;10.89839727
17816;LISTA GIOVANNA;Agip Eni;Altro;Self Area Eni lista giovanna;VIA ABETONE INFERIORE 2 41053;MARANELLO;MO;44.53031863;10.86516872
10748;PATTI GIROLAMO;Pompe Bianche;Altro;Ego;VIA CIRCONVALLAZIONE OVEST 311 41054;MARANO SUL PANARO;MO;44.45405623;10.96510649
29412;GRANDI IVAN;Pompe Bianche;Altro;GRANDI RETI;VIA CIRCONVALLAZIONE 68 41054;MARANO SUL PANARO;MO;44.45537403;10.96782155
16665;TONDI E ZANZI DI ZANZI GIAMBATTISTA & C. S.A.S.;Agip Eni;Altro;TONDI E ZANZI;VIA FONDOVALLE 7301 41054;MARANO SUL PANARO;MO;44.39193717;10.91776684
8342;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;MEDOLLA VIA PROVINCIALE 55;VIA PROVINCIALE 55 41036;MEDOLLA;MO;44.84675752;11.0780049
22908;METANAUTO S.N.C. DI BENATTI M. & C.;Pompe Bianche;Altro;METANAUTO;VIA MATTEOTTI 51 41036;MEDOLLA;MO;44.85491355;11.06220245
10971;BOSCHI PIETRO & C. - SOCIETA' A RESPONSABILITA' LIMITATA;Pompe Bianche;Altro;POMPA BIANCA;VIA MATTEOTTI 51 41036;MEDOLLA;MO;44.85519344;11.06240094
4066;COSTANTIN DISTRIBUZIONE E SERVIZI SRL;Costantin;Strada Statale;Costantin MIRANDOLA;Statale 12 dell'Abetone e del Brennero, Km. 9.6, dir. NORD 41037;MIRANDOLA;MO;44.9471763;11.07711822
39360;SPIZUOCO  PASQUALE;Ego;Altro;Ego ;VIA MAZZONE 188/11 41037;MIRANDOLA;MO;44.877563;11.13021925
16693;FABBRI MARCO;Api-Ip;Altro;ENI;VIA PROVINCIALE PER CONCORDIA 70/D 41037;MIRANDOLA;MO;44.89516742;11.04331166
34775;GRAZI PETROLI S.R.L.;Grazi Petroli;Altro;GRAZI PETROLI;VIA STATALE SUD  52/50 41037;MIRANDOLA;MO;44.87444337;11.0685727
35255;L.A.I.C.A. S.R.L.;Pompe Bianche;Altro;LAICA;Via Imperiale 327 41037;MIRANDOLA;MO;44.87475186;11.14746787
22907;NICOLINI MATTEO;Esso;Altro;Nicolini Matteo;VIA PUNTA 161 41037;MIRANDOLA;MO;44.92189087;11.0944144
23002;PETROL SERVICE SRL S.U.;Pompe Bianche;Altro;POMPA BIANCA;VIALE GRAMSCI 34/36 41037;MIRANDOLA;MO;44.8918093;11.07122319
16383;CARS SERVICE DEI F.LLI CARDILLO PASQUALE E GIORGIO S.N.C.;Tamoil;Strada Statale;stazione di servicio tamoil dei f.lli cardillo;Statale 12 dell'Abetone e del Brennero, Km. 224, dir. mantova 41037;MIRANDOLA;MO;44.95551707;11.08459219
14081;IMPIANTO AGIP DI SOLOMITA GIUSEPPE;Agip Eni;Strada Statale;STAZIONE ENI;Statale 12 dell'Abetone e del Brennero, Km. 218, dir. sud 41037;MIRANDOLA;MO;44.88276427;11.06791882
36713;MORETTI DI MORETTI CLAUDIA E CERESOLA LORENZO S.N.C.;Tamoil;Altro;tamoil;via valli 539 41037;MIRANDOLA;MO;44.93456764;11.23820669
39880;BEGONIA PETROLIO DI FIRAT BAYRAM;Agip Eni;Altro;6204;via Emilia Ovest 374  41123;MODENA;MO;44.65413632;10.90889714
35145;T.D.M. S.R.L.;Tamoil;Altro;1316;via Vignolese  41125;MODENA;MO;44.63156897;10.94069436
37566;T.D.M. S.R.L.;Tamoil;Altro;2090;Via Menotti  41121;MODENA;MO;44.65286068;10.9428522
34715;T.D.M. S.R.L.;Tamoil;Altro;2657;VIA FORMIGINA  41126;MODENA;MO;44.6416601;10.89720435
19021;STEFFANINI DAVIDE & ENRICO S.N.C.;Agip Eni;Altro;AGIP;VIA NONANTOLANA 1070 41122;MODENA;MO;44.66200165;10.97189449
19219;BRONTI IGNAZIO;Agip Eni;Altro;agip bronti;VIA GIARDINI 585 41121;MODENA;MO;44.63484466;10.9038794
